organism	kingdom	phylum	class	order	family	genus	species
cf. Caloplaca sp. 3 TL-2023	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Teloschistales;Teloschistineae;Teloschistaceae;Caloplacoideae;Caloplaca;unclassified Caloplaca;cf. Caloplaca sp. 3 TL-2023		Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Caloplaca
Ciborinia camelliae	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Sclerotiniaceae;Ciborinia;Ciborinia camelliae		Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Ciborinia
Cladonia borealis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Lecanorales;Lecanorineae;Cladoniaceae;Cladonia;Cladonia borealis		Ascomycota	Lecanoromycetes	Lecanorales	Cladoniaceae	Cladonia
Claussenomyces sp. TS43310	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Leotiales;Tympanidaceae;Claussenomyces;unclassified Claussenomyces;Claussenomyces sp. TS43310		Ascomycota	Leotiomycetes	Leotiales	Tympanidaceae	Claussenomyces
Clohesyomyces aquaticus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Lindgomycetaceae;Clohesyomyces;Clohesyomyces aquaticus		Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Clohesyomyces
Cyphellophora attinorum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Chaetothyriomycetidae;Chaetothyriales;Cyphellophoraceae;Cyphellophora;Cyphellophora attinorum		Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora
Daldinia eschscholtzii	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Hypoxylaceae;Daldinia;Daldinia eschscholtzii		Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Daldinia
Diaporthe ampelina	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Diaporthales;Diaporthaceae;Diaporthe;Diaporthe ampelina		Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe
Diaporthe citri	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Diaporthales;Diaporthaceae;Diaporthe;Diaporthe citri		Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe
Diaporthe eres	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Diaporthales;Diaporthaceae;Diaporthe;Diaporthe eres species complex;Diaporthe eres		Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe
Diaporthe sp. PMI_573	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Diaporthales;Diaporthaceae;Diaporthe;unclassified Diaporthe;Diaporthe sp. PMI_573		Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe
Dothidotthia symphoricarpi CBS 119687	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Dothidotthiaceae;Dothidotthia;Dothidotthia symphoricarpi;Dothidotthia symphoricarpi CBS 119687		Ascomycota	Dothideomycetes	Pleosporales	Dothidotthiaceae	Dothidotthia
Elasticomyces elasticus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Mycosphaerellales;Teratosphaeriaceae;Elasticomyces;Elasticomyces elasticus		Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Elasticomyces
Gallowayella cf. fulva	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Teloschistales;Teloschistineae;Teloschistaceae;Teloschistaceae incertae sedis;Gallowayella;Gallowayella cf. fulva		Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Gallowayella
Glonium stellatum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Gloniales;Gloniaceae;Glonium;Glonium stellatum		Ascomycota	Dothideomycetes	Gloniales	Gloniaceae	Glonium
Heterodermia speciosa	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Caliciales;Physciaceae;Heterodermia;Heterodermia speciosa		Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Heterodermia
Hyaloscypha sp. PMI_1271	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Hyaloscyphaceae;Hyaloscypha;unclassified Hyaloscypha;Hyaloscypha sp. PMI_1271		Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha
Hymenoscyphus albidus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Helotiaceae;Hymenoscyphus;Hymenoscyphus albidus		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus
Hymenoscyphus fraxineus	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Helotiaceae;Hymenoscyphus;Hymenoscyphus fraxineus		Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus
Hypoxylon cercidicola	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Hypoxylaceae;Hypoxylon;Hypoxylon cercidicola		Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon
Hypoxylon fragiforme	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Hypoxylaceae;Hypoxylon;Hypoxylon fragiforme		Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon
Hypoxylon fuscum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Hypoxylaceae;Hypoxylon;Hypoxylon fuscum		Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon
Hypoxylon rubiginosum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Hypoxylaceae;Hypoxylon;Hypoxylon rubiginosum		Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon
Hypoxylon sp. FL0543	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Hypoxylaceae;Hypoxylon;unclassified Hypoxylon;Hypoxylon sp. FL0543		Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon
Hypoxylon sp. FL1284	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Hypoxylaceae;Hypoxylon;unclassified Hypoxylon;Hypoxylon sp. FL1284		Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon
Hypoxylon texense	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Hypoxylaceae;Hypoxylon;Hypoxylon texense		Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Hypoxylon
Icmadophila ericetorum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Ostropomycetidae;Pertusariales;Icmadophilaceae;Icmadophila;Icmadophila ericetorum		Ascomycota	Lecanoromycetes	Pertusariales	Icmadophilaceae	Icmadophila
Kuettlingeria erythrocarpa	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Teloschistales;Teloschistineae;Teloschistaceae;Kuettlingeria;Kuettlingeria erythrocarpa		Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Kuettlingeria
Lambiella insularis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Ostropomycetidae;Baeomycetales;Xylographaceae;Lambiella;Lambiella insularis		Ascomycota	Lecanoromycetes	Baeomycetales	Xylographaceae	Lambiella
Lepraria neglecta	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Lecanorales;Lecanorineae;Stereocaulaceae;Lepraria;Lepraria neglecta		Ascomycota	Lecanoromycetes	Lecanorales	Stereocaulaceae	Lepraria
Letharia lupina	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Lecanorales;Lecanorineae;Parmeliaceae;Letharia;Letharia lupina		Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Letharia
Lobaria immixta	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Peltigerales;Peltigerineae;Lobariaceae;Lobaria;Lobaria immixta		Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	Lobaria
Lojkania enalia	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporales incertae sedis;Lojkania;Lojkania enalia		Ascomycota	Dothideomycetes	Pleosporales		Lojkania
Mollisia scopiformis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Mollisiaceae;Mollisia;Mollisia scopiformis		Ascomycota	Leotiomycetes	Helotiales	Mollisiaceae	Mollisia
Monosporascus sp. CRB-8-3	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Xylariales incertae sedis;Monosporascus;unclassified Monosporascus;Monosporascus sp. CRB-8-3		Ascomycota	Sordariomycetes	Xylariales		Monosporascus
Mycoblastus sanguinarius	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Lecanorales;Lecanorineae;Mycoblastaceae;Mycoblastus;Mycoblastus sanguinarius		Ascomycota	Lecanoromycetes	Lecanorales	Mycoblastaceae	Mycoblastus
Nemania serpens	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Xylariaceae;Nemania;Nemania serpens		Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Nemania
Nemania sp. NC0429	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Xylariaceae;Nemania;unclassified Nemania;Nemania sp. NC0429		Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Nemania
Parastagonospora nodorum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleosporineae;Phaeosphaeriaceae;Parastagonospora;Parastagonospora nodorum		Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora
Penicillium hordei	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Penicillium;Penicillium hordei		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
Penicillium oxalicum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Penicillium;Penicillium oxalicum		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
Penicillium sp. IBT 31633x	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Penicillium;unclassified Penicillium;Penicillium sp. IBT 31633x		Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
Pleomassaria siparia CBS 279.74	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Pleomassariaceae;Pleomassaria;Pleomassaria siparia;Pleomassaria siparia CBS 279.74		Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae	Pleomassaria
Polyplosphaeria fusca	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Pleosporomycetidae;Pleosporales;Tetraplosphaeriaceae;Polyplosphaeria;Polyplosphaeria fusca		Ascomycota	Dothideomycetes	Pleosporales	Tetraplosphaeriaceae	Polyplosphaeria
Pseudocyphellaria aurata	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Peltigerales;Peltigerineae;Lobariaceae;Pseudocyphellaria;Pseudocyphellaria aurata		Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	Pseudocyphellaria
Ptychographa xylographoides	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Ostropomycetidae;Baeomycetales;Xylographaceae;Ptychographa;Ptychographa xylographoides		Ascomycota	Lecanoromycetes	Baeomycetales	Xylographaceae	Ptychographa
Pycnora praestabilis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Candelariomycetes;Candelariales;Pycnoraceae;Pycnora;Pycnora praestabilis		Ascomycota	Candelariomycetes	Candelariales	Pycnoraceae	Pycnora
Pyrenodesmia sp. 3 TL-2023	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Teloschistales;Teloschistineae;Teloschistaceae;Caloplacoideae;Pyrenodesmia;unclassified Pyrenodesmia;Pyrenodesmia sp. 3 TL-2023		Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Pyrenodesmia
Rasamsonia byssochlamydoides	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Trichocomaceae;Rasamsonia;Rasamsonia byssochlamydoides		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia
Rasamsonia emersonii	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Trichocomaceae;Rasamsonia;Rasamsonia emersonii		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia
Rasamsonia emersonii CBS 393.64	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Trichocomaceae;Rasamsonia;Rasamsonia emersonii;Rasamsonia emersonii CBS 393.64		Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia
Rostrohypoxylon terebratum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Xylariales;Hypoxylaceae;Rostrohypoxylon;Rostrohypoxylon terebratum		Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Rostrohypoxylon
Rutstroemia sp. NJR-2017a BBW	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Rutstroemiaceae;Rutstroemia;unclassified Rutstroemia;Rutstroemia sp. NJR-2017a BBW		Ascomycota	Leotiomycetes	Helotiales	Rutstroemiaceae	Rutstroemia
Sclerotinia borealis F-4128	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Sclerotiniaceae;Sclerotinia;Sclerotinia borealis;Sclerotinia borealis F-4128		Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia
Sclerotinia nivalis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Sclerotiniaceae;Sclerotinia;Sclerotinia nivalis		Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia
Sclerotinia trifoliorum	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Sclerotiniaceae;Sclerotinia;Sclerotinia trifoliorum		Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia
Sphaerulina musiva	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Mycosphaerellales;Mycosphaerellaceae;Sphaerulina;Sphaerulina musiva		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Sphaerulina
Sphaerulina musiva SO2202	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Mycosphaerellales;Mycosphaerellaceae;Sphaerulina;Sphaerulina musiva;Sphaerulina musiva SO2202		Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Sphaerulina
Sticta canariensis	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Lecanoromycetes;OSLEUM clade;Lecanoromycetidae;Peltigerales;Peltigerineae;Lobariaceae;Sticta;Sticta canariensis		Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	Sticta
Stromatinia cepivora	cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Sclerotiniaceae;Stromatinia;Stromatinia cepivora		Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Stromatinia
